
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   4660 Console                    1     12,180 K
SgrmBroker.exe                5952 Services                   0      8,460 K
svchost.exe                   6724 Services                   0     10,836 K
svchost.exe                   2996 Services                   0      7,852 K
svchost.exe                   9080 Services                   0     10,048 K
dism.exe                      8944 Console                    1      8,904 K
DismHost.exe                  7868 Console                    1     12,608 K
VSSVC.exe                     5288 Services                   0      8,340 K
svchost.exe                   7804 Services                   0      7,464 K
cmd.exe                       7960 Console                    1      5,168 K
RunCmdX.exe                   8812 Console                    1     24,608 K
conhost.exe                   8820 Console                    1     15,332 K
tasklist.exe                  5864 Console                    1      9,820 K
cmd.exe                       8052 Console                    1      4,472 K
conhost.exe                   8024 Console                    1     12,320 K
powershell.exe                4036 Console                    1      4,252 K
