Time, Event
17:59,Moduel PN: MOD01S000L00600006
17:59,Moduel Path: C:\OEM\PRELOAD\DPOP\SetCameraFrequency\
17:59,Module Name: [DPOP] Set Camera Frequency
17:59,execute process 1
17:59,process 1 install command: C:\OEM\PRELOAD\DPOP\SetCameraFrequency\SET_Frequency.cmd 
17:59,Return code check: False
17:59,Execute process 1 success
17:59,Install Action58 success
17:59,-----------------------------------------
17:59,Install Action59
17:59,Moduel PN: MOD01S00GA00600003
17:59,Moduel Path: c:\OEM\Preload\Modules\DriverSetupUtility\
17:59,Module Name: DriverSetupUtility
17:59,execute process 1
17:59,process 1 install command: c:\OEM\Preload\Modules\DriverSetupUtility\SETUP_FUB.cmd 
17:59,Return code check: False
17:59,Execute process 1 success
17:59,Install Action59 success
17:59,-----------------------------------------
17:59,Install Action60
17:59,Moduel PN: MOD01S00HL00600009
17:59,Moduel Path: C:\OEM\Preload\DPOP\OfficeSettings\
17:59,Module Name: [DPOP] Office Settings
17:59,Delete Action59
17:59,execute process 1
17:59,process 1 install command: C:\OEM\Preload\DPOP\OfficeSettings\00_Office2016_ReferralID.cmd 
17:59,Return code check: False
17:59,Execute process 1 success
17:59,execute process 2
17:59,process 2 install command: C:\OEM\Preload\DPOP\OfficeSettings\01_OfficeInstallDetection.cmd 
17:59,Return code check: False
17:59,Execute process 2 success
17:59,execute process 3
17:59,process 3 install command: C:\OEM\Preload\DPOP\OfficeSettings\02_OfficeFixDogfood.cmd 
17:59,Return code check: False
17:59,Execute process 3 success
17:59,execute process 4
17:59,process 4 install command: C:\OEM\Preload\DPOP\OfficeSettings\WorkaroundForFirstBoot.cmd 
17:59,Return code check: False
17:59,Execute process 4 success
18:0,Install Action60 success
18:0,-----------------------------------------
18:0,Install Action61
18:0,Moduel PN: MOD01S00IE00600001
18:0,Moduel Path: C:\OEM\Preload\DPOP\SetDshowBridgesforUVC\
18:0,Module Name: [DPOP] Set DShow Bridges for UVC
18:0,execute process 1
18:0,process 1 install command: C:\OEM\Preload\DPOP\SetDshowBridgesforUVC\SET_DShowBridges.cmd 
18:0,Return code check: False
18:0,Execute process 1 success
18:0,Install Action61 success
18:0,-----------------------------------------
18:0,Install Action62
18:0,Moduel PN: MOD01S007S00600009
18:0,Moduel Path: C:\OEM\Preload\DPOP\OEMStoreSettings\
18:0,Module Name: [DPOP] OEM Store Settings
18:0,execute process 1
18:0,process 1 install command: C:\OEM\Preload\DPOP\OEMStoreSettings\SetID.cmd UserAlaunch
18:0,Return code check: False
18:0,Execute process 1 success
18:0,Install Action62 success
18:0,-----------------------------------------
18:0,Install Action63
18:0,Moduel PN: MOD01S008P00600008
18:0,Moduel Path: C:\OEM\Preload\DPOP\DiskSettings\
18:0,Module Name: [DPOP] Disk Settings
18:0,Delete Action62
18:0,execute process 1
18:0,process 1 install command: C:\OEM\Preload\DPOP\DiskSettings\DiskSettings.cmd UserAlaunch
18:0,Return code check: False
18:0,Execute process 1 success
18:0,Install Action63 success
18:0,-----------------------------------------
18:0,Install Action64
18:0,Moduel PN: MOD01SET5R0060004Q
18:0,Moduel Path: C:\OEM\FRWP\
18:0,Module Name: Wall paper
18:0,execute process 1
18:0,process 1 install command: C:\OEM\FRWP\Install_WP.cmd 
18:0,Return code check: False
18:0,Execute process 1 success
18:0,Install Action64 success
18:0,-----------------------------------------
18:0,Install Action65
18:0,Moduel PN: MOD01S00II00600002
18:0,Moduel Path: C:\OEM\Preload\DPOP\PowerSettings\
18:0,Module Name: [DPOP] Power Settings
18:0,Delete Action64
18:0,execute process 1
18:0,process 1 install command: C:\OEM\Preload\DPOP\PowerSettings\PowerManagement.cmd 
18:0,Return code check: False
18:0,Execute process 1 success
18:0,Install 18:10,Parameter is Normal
18:10,m_enumValidatePara: 0
18:10,iAction = 84
18:10,iPreDone = 74
18:10,-----------------------------------------
18:10,Install Action75
18:10,Moduel PN: MOD01SETTC0060002H
18:10,Moduel Path: C:\OEM\FIVT\
18:10,Module Name: Factory Image Validation Tool
18:10,execute process 1
18:10,process 1 install command: C:\OEM\FIVT\Run.cmd 
18:11,Return code check: False
18:11,Execute process 1 success
18:11,Install Action75 success
18:11,-----------------------------------------
18:11,Install Action76
18:11,Moduel PN: MOD01S008I0060000E
18:11,Moduel Path: c:\oem\Preload\DPOP\DISMCleanupImage\
18:11,Module Name: [DPOP] Run DISM Cleanup-Image
18:11,execute process 1
18:11,process 1 install command: c:\oem\Preload\DPOP\DISMCleanupImage\DISMCleanupImage.cmd Useralaunch
18:13,Return code check: False
18:13,Execute process 1 success
18:13,Install Action76 success
18:13,Reboot
18:16,Parameter is Normal
18:16,m_enumValidatePara: 0
18:16,iAction = 84
18:16,iPreDone = 82
18:16,-----------------------------------------
18:16,Install Action83
18:16,Moduel PN: MOD01S006P0060001S
18:16,Moduel Path: C:\OEM\Preload\DPOP\USMTExecution\
18:16,Module Name: [DPOP] USMT Execution
18:16,execute process 1
18:16,process 1 install command: C:\OEM\Preload\DPOP\USMTExecution\USMT.cmd Useralaunch
18:20,Return code check: False
18:20,Execute process 1 success
18:21,Install Action83 success
18:21,Delete Action2
18:21,Delete Action3
18:21,Delete Action4
18:21,Delete Action5
18:21,Delete Action12
18:21,Delete Action17
18:21,Delete Action19
18:21,Delete Action20
18:21,Delete Action27
18:21,Delete Action28
18:21,Delete Action29
18:21,Delete Action30
18:21,Delete Action31
18:21,Delete Action32
18:21,Delete Action33
18:21,Delete Action34
18:21,Delete Action35
18:21,Delete Action36
18:21,Delete Action37
18:21,Delete Action38
18:21,Delete Action40
18:21,Delete Action42
18:21,Delete Action43
18:21,Delete Action44
18:21,Delete Action45
18:21,Delete Action46
18:21,Delete Action47
18:21,Delete Action48
18:21,Delete Action49
18:21,Delete Action51
18:21,Delete Action52
18:21,Delete Action53
18:21,Delete Action54
18:21,Delete Action55
18:21,Delete Action56
18:21,Delete Action59
18:21,Delete Action62
18:21,Delete Action64
18:21,Delete Action65
18:21,Delete Action66
18:21,Delete Action67
18:21,Delete Action68
18:21,Delete Action72
18:21,Delete Action73
18:21,Delete Action74
18:21,Delete Action76
18:21,Delete Action77
18:21,Delete Action78
18:21,Delete Action80
18:21,Delete Action82
18:21,Delete Action83
18:21,-----------------------------------------
18:21,Install Action84
18:21,Moduel PN: MOD01OPK0F0060001R
18:21,Moduel Path: C:\OEM\Preload\DPOP\Sysprep\
18:21,Module Name: Sysprep in Factory
18:21,Delete Action83
18:21,execute process 1
18:21,process 1 install command: C:\OEM\Preload\DPOP\Sysprep\factory\Factory_sysprep.cmd 
18:21,Return code check: False
18:21,Execute process 1 success
18:21,Install Action84 success
18:21,Delete Action2
18:21,Delete Action3
18:21,Delete Action4
18:21,Delete Action5
18:21,Delete Action12
18:21,Delete Action17
18:21,Delete Action19
18:21,Delete Action20
18:21,Delete Action27
18:21,Delete Action28
18:21,Delete Action29
18:21,Delete Action30
18:21,Delete Action31
18:21,Delete Action32
18:21,Delete Action33
18:21,Delete Action34
18:21,Delete Action35
18:21,Delete Action36
18:21,Delete Action37
18:21,Delete Action38
18:21,Delete Action40
18:21,Delete Action42
18:21,Delete Action43
18:21,Delete Action44
18:21,Delete Action45
18:21,Delete Action46
18:21,Delete Action47
18:21,Delete Action48
18:21,Delete Action49
18:21,Delete Action51
18:21,Delete Action52
18:21,Delete Action53
18:21,Delete Action54
18:21,Delete Action55
18:21,Delete Action56
18:21,Delete Action59
18:21,Delete Action62
18:21,Delete Action64
18:21,Delete Action65
18:21,Delete Action66
18:21,Delete Action67
18:21,Delete Action68
18:21,Delete Action72
18:21,Delete Action73
18:21,Delete Action74
18:21,Delete Action76
18:21,Delete Action77
18:21,Delete Action78
18:21,Delete Action80
18:21,Delete Action82
18:21,Delete Action83
